Date,country,province,Confirmed,Recovered,Deaths
2020-01-22,Australia,Australian Capital Territory,0,0.0,0
2020-01-23,Australia,Australian Capital Territory,0,0.0,0
2020-01-24,Australia,Australian Capital Territory,0,0.0,0
2020-01-25,Australia,Australian Capital Territory,0,0.0,0
2020-01-26,Australia,Australian Capital Territory,0,0.0,0
2020-01-27,Australia,Australian Capital Territory,0,0.0,0
2020-01-28,Australia,Australian Capital Territory,0,0.0,0
2020-01-29,Australia,Australian Capital Territory,0,0.0,0
2020-01-30,Australia,Australian Capital Territory,0,0.0,0
2020-01-31,Australia,Australian Capital Territory,0,0.0,0
2020-02-01,Australia,Australian Capital Territory,0,0.0,0
2020-02-02,Australia,Australian Capital Territory,0,0.0,0
2020-02-03,Australia,Australian Capital Territory,0,0.0,0
2020-02-04,Australia,Australian Capital Territory,0,0.0,0
2020-02-05,Australia,Australian Capital Territory,0,0.0,0
2020-02-06,Australia,Australian Capital Territory,0,0.0,0
2020-02-07,Australia,Australian Capital Territory,0,0.0,0
2020-02-08,Australia,Australian Capital Territory,0,0.0,0
2020-02-09,Australia,Australian Capital Territory,0,0.0,0
2020-02-10,Australia,Australian Capital Territory,0,0.0,0
2020-02-11,Australia,Australian Capital Territory,0,0.0,0
2020-02-12,Australia,Australian Capital Territory,0,0.0,0
2020-02-13,Australia,Australian Capital Territory,0,0.0,0
2020-02-14,Australia,Australian Capital Territory,0,0.0,0
2020-02-15,Australia,Australian Capital Territory,0,0.0,0
2020-02-16,Australia,Australian Capital Territory,0,0.0,0
2020-02-17,Australia,Australian Capital Territory,0,0.0,0
2020-02-18,Australia,Australian Capital Territory,0,0.0,0
2020-02-19,Australia,Australian Capital Territory,0,0.0,0
2020-02-20,Australia,Australian Capital Territory,0,0.0,0
2020-02-21,Australia,Australian Capital Territory,0,0.0,0
2020-02-22,Australia,Australian Capital Territory,0,0.0,0
2020-02-23,Australia,Australian Capital Territory,0,0.0,0
2020-02-24,Australia,Australian Capital Territory,0,0.0,0
2020-02-25,Australia,Australian Capital Territory,0,0.0,0
2020-02-26,Australia,Australian Capital Territory,0,0.0,0
2020-02-27,Australia,Australian Capital Territory,0,0.0,0
2020-02-28,Australia,Australian Capital Territory,0,0.0,0
2020-02-29,Australia,Australian Capital Territory,0,0.0,0
2020-03-01,Australia,Australian Capital Territory,0,0.0,0
2020-03-02,Australia,Australian Capital Territory,0,0.0,0
2020-03-03,Australia,Australian Capital Territory,0,0.0,0
2020-03-04,Australia,Australian Capital Territory,0,0.0,0
2020-03-05,Australia,Australian Capital Territory,0,0.0,0
2020-03-06,Australia,Australian Capital Territory,0,0.0,0
2020-03-07,Australia,Australian Capital Territory,0,0.0,0
2020-03-08,Australia,Australian Capital Territory,0,0.0,0
2020-03-09,Australia,Australian Capital Territory,0,0.0,0
2020-03-10,Australia,Australian Capital Territory,0,0.0,0
2020-03-11,Australia,Australian Capital Territory,0,0.0,0
2020-03-12,Australia,Australian Capital Territory,0,0.0,0
2020-03-13,Australia,Australian Capital Territory,1,0.0,0
2020-03-14,Australia,Australian Capital Territory,1,0.0,0
2020-03-15,Australia,Australian Capital Territory,1,0.0,0
2020-03-16,Australia,Australian Capital Territory,2,0.0,0
2020-03-17,Australia,Australian Capital Territory,2,0.0,0
2020-03-18,Australia,Australian Capital Territory,3,0.0,0
2020-03-19,Australia,Australian Capital Territory,4,0.0,0
2020-03-20,Australia,Australian Capital Territory,6,0.0,0
2020-03-21,Australia,Australian Capital Territory,9,0.0,0
2020-03-22,Australia,Australian Capital Territory,19,0.0,0
2020-03-23,Australia,Australian Capital Territory,32,0.0,0
2020-03-24,Australia,Australian Capital Territory,39,0.0,0
2020-03-25,Australia,Australian Capital Territory,39,0.0,0
2020-03-26,Australia,Australian Capital Territory,53,1.0,0
2020-03-27,Australia,Australian Capital Territory,62,1.0,0
2020-03-28,Australia,Australian Capital Territory,71,2.0,0
2020-03-29,Australia,Australian Capital Territory,77,2.0,0
2020-03-30,Australia,Australian Capital Territory,78,2.0,1
2020-03-31,Australia,Australian Capital Territory,80,3.0,1
2020-04-01,Australia,Australian Capital Territory,84,8.0,1
2020-04-02,Australia,Australian Capital Territory,87,11.0,1
2020-04-03,Australia,Australian Capital Territory,91,18.0,1
2020-04-04,Australia,Australian Capital Territory,93,18.0,2
2020-04-05,Australia,Australian Capital Territory,96,28.0,2
2020-04-06,Australia,Australian Capital Territory,96,40.0,2
2020-04-07,Australia,Australian Capital Territory,96,40.0,2
2020-04-08,Australia,Australian Capital Territory,99,40.0,2
2020-04-09,Australia,Australian Capital Territory,100,47.0,2
2020-04-10,Australia,Australian Capital Territory,103,59.0,2
2020-04-11,Australia,Australian Capital Territory,103,59.0,2
2020-04-12,Australia,Australian Capital Territory,103,59.0,2
2020-04-13,Australia,Australian Capital Territory,102,59.0,2
2020-04-14,Australia,Australian Capital Territory,103,72.0,2
2020-04-15,Australia,Australian Capital Territory,103,72.0,3
2020-04-16,Australia,Australian Capital Territory,103,82.0,3
2020-04-17,Australia,Australian Capital Territory,103,81.0,3
2020-04-18,Australia,Australian Capital Territory,103,88.0,3
2020-04-19,Australia,Australian Capital Territory,103,88.0,3
2020-04-20,Australia,Australian Capital Territory,104,91.0,3
2020-04-21,Australia,Australian Capital Territory,104,92.0,3
2020-04-22,Australia,Australian Capital Territory,104,93.0,3
